model_name,t2t_eval_1,t2t_eval_2,m2m_eval_1,m2m_eval_2
X_g01.json,0.7666666666666666,0.39444444444444443,0.4646142114990788,0.39211359133767826
R_g01.json,0.6733333333333333,0.35055555555555556,0.10146114778731768,0.14621175523349436
E_j01.json,0.77,0.4183333333333333,0.23965633684354806,0.23527569879930424
M_g01.json,0.6666666666666666,0.3666666666666667,0.20584159124653623,0.2523756828838129
R_j04.json,0.7566666666666667,0.45863636363636356,0.21021789494658338,0.18502715593894603
G_g01.json,0.7433333333333333,0.3776190476190477,0.1837794877460075,0.2528763114659191
R_j03.json,0.7466666666666667,0.4474592074592074,0.3735172651304559,0.29697570947570945
M_j02.json,0.42333333333333334,0.22208333333333333,0.15835589667951394,0.1464540481562621
V_k09.json,0.6633333333333334,0.4244681147312726,0.4492688577626595,0.3890832466413861
V_k08.json,0.7399999999999999,0.4061111111111111,0.5072039796514765,0.40727004477004475
M_j03.json,0.7600000000000001,0.40380952380952384,0.3214079615760559,0.35872814785858265
R_j02.json,0.7200000000000001,0.36000000000000004,0.2711125542048718,0.29499249842387093
R_j01.json,0.6900000000000001,0.393005698005698,0.3362905175507513,0.2842037890424987
E_j05.json,0.5466666666666667,0.2733333333333334,0.16974044821932013,0.11554320082545888
G_j01.json,0.54,0.2819047619047619,0.24805700905376052,0.20489087047997512
M_k05.json,0.7266666666666666,0.4534567901234568,0.25162020942516766,0.21308074710674196
E_j04.json,0.7200000000000001,0.3970370370370371,0.24600257774825093,0.20406203417039329
M_j01.json,0.55,0.2878205128205128,0.28747506419876995,0.29259259259259257
V_g01.json,0.7633333333333333,0.41533670033670034,0.3632621474227953,0.2915842094413523
M_g02.json,0.79,0.45452380952380955,0.39421062922875844,0.36936227067806016
E_j03.json,0.7066666666666667,0.3652380952380952,0.10358080480840433,0.13470894954445664
E_j02.json,0.5866666666666667,0.29333333333333333,0.09498659111667158,0.10478957218087652
G_g03.json,0.6366666666666667,0.38255824372759856,0.3244390843713952,0.44178716385999844
