model_name,t2t_eval_1,t2t_eval_2,m2m_eval_1,m2m_eval_2
X_g01.json,0.8166666666666668,0.4611111111111111,0.5300227084744703,0.4803171030995494
R_g01.json,0.7833333333333333,0.40337134853941575,0.5174028075582134,0.5623513860889453
E_j01.json,0.7399999999999999,0.39415577342047925,0.40163654108046903,0.423317272018562
M_g01.json,0.6133333333333333,0.30949152542372876,0.5110380885121688,0.5033468730052696
R_j04.json,0.7466666666666667,0.4164880952380952,0.39013842948780725,0.3252446869146985
G_g01.json,0.7399999999999999,0.3840774258421317,0.34459187486047765,0.3753485855571496
R_j03.json,0.7566666666666667,0.40938923395445137,0.4721675597205195,0.45360637362741146
M_j02.json,0.5366666666666667,0.2730952380952381,0.4160690760630983,0.3853359416872699
V_k09.json,0.8133333333333334,0.5354244031830239,0.535899828682945,0.45256237226825463
V_k08.json,0.6966666666666667,0.3819467787114846,0.9354732790941919,0.9218317630082336
M_j03.json,0.7366666666666667,0.3745061728395062,0.6207565511238043,0.6473297896571554
R_j02.json,0.7566666666666667,0.37833333333333335,0.5122106560489383,0.47354353998814025
R_j01.json,0.8366666666666668,0.4625656814449918,0.5996797571867324,0.47882756014528455
E_j05.json,0.59,0.295,0.4411973726067114,0.36581417468155847
G_j01.json,0.7033333333333333,0.3516666666666666,0.4673732504650543,0.4403847661939011
M_k05.json,0.6533333333333333,0.3492911010558069,0.4420291580996019,0.40972435202248864
E_j04.json,0.5266666666666667,0.27615384615384614,0.5746722882173516,0.5222292803814543
M_j01.json,0.64,0.3249019607843137,0.5220260322548393,0.4998161118355518
V_g01.json,0.8533333333333334,0.48193732193732197,0.5842123820340605,0.47090102983059356
M_g02.json,0.7933333333333333,0.4181944444444445,0.6896252100633783,0.6954545454545453
E_j03.json,0.5599999999999999,0.27999999999999997,0.29314755132121745,0.3536781370693651
E_j02.json,0.6033333333333334,0.3016666666666667,0.5007372596320095,0.43189712935748353
G_g03.json,0.61,0.36767806267806263,0.49862295876163487,0.5721857001118017
