model_name,t2t_eval_1,t2t_eval_2,m2m_eval_1,m2m_eval_2
X_g01.json,0.7933333333333333,0.47444444444444445,0.43100811408651757,0.3840542046520308
R_g01.json,0.785,0.4175,0.08242040268693104,0.1253673188513614
E_j01.json,0.8333333333333334,0.49464285714285716,0.26350508718296045,0.24393707284460575
M_g01.json,0.67,0.35015151515151516,0.10137640069245978,0.12177018633540372
R_j04.json,0.7966666666666667,0.4483333333333333,0.1831700928778779,0.14643625351924336
G_g01.json,0.68,0.37333333333333335,0.16349302690582987,0.20054581822874507
R_j03.json,0.7666666666666666,0.4041666666666666,0.2725307434953712,0.22485119047619048
M_j02.json,0.6233333333333334,0.40425925925925926,0.10744705976302292,0.09429590017825311
V_k09.json,0.8633333333333333,0.7501851851851852,0.37918477276317986,0.3297101449275362
V_k08.json,0.8133333333333334,0.49489672364672366,0.8323023181763122,0.7663868909436286
M_j03.json,0.7466666666666667,0.37333333333333335,0.21709961295678185,0.24865664203138324
R_j02.json,0.7233333333333333,0.36166666666666664,0.34960024779319737,0.34305671586373343
R_j01.json,0.7600000000000001,0.42629629629629634,0.25379391015608815,0.19538709481238217
E_j05.json,0.6366666666666667,0.31833333333333336,0.17682849562721994,0.10641534391534391
G_j01.json,0.5499999999999999,0.27499999999999997,0.2848027366124389,0.272921117058114
M_k05.json,0.7366666666666667,0.4053703703703704,0.20494175214161528,0.16934614088304686
E_j04.json,0.7466666666666667,0.42703703703703705,0.2153460682151648,0.16393214333181438
M_j01.json,0.62,0.31,0.22788071554549663,0.18761034467556206
V_g01.json,0.8366666666666666,0.45537037037037037,0.26980117863509784,0.25652830900591256
M_g02.json,0.81,0.49346153846153845,0.412686938372121,0.3143398268398268
E_j03.json,0.6466666666666666,0.3471428571428572,0.09979139449630066,0.11515946056782406
E_j02.json,0.6666666666666666,0.3333333333333333,0.09355911859967059,0.09088164251207727
G_g03.json,0.5966666666666667,0.3261111111111111,0.40742659752546545,0.46677813955591735
